1,93,Afeganistão,Ásia
2,27,África do Sul,África
3,355,Albânia,Europa
4,49,Alemanha,Europa
5,376,Andorra,Europa
6,244,Angola,África
7,1,Anguilla,América Central
8,1,Antígua e Barbuda,América Central
9,599,Antilhas Holandesas,América Central
10,966,Arábia Saudita,Ásia
11,213,Argélia,África
12,54,Argentina,América do Sul
13,374,Armênia,Ásia
14,297,Aruba,América Central
15,247,Ascensão,África
16,61,Austrália,Oceania
17,43,Áustria,Europa
18,994,Azerbaijão,Ásia
19,1,Bahamas,América Central
20,880,Bangladesh,Ásia
21,1,Barbados,América Central
22,973,Bahrein,Ásia
23,32,Bélgica,Europa
24,501,Belize,América Central
25,229,Benim,África
26,1,Bermudas,América Central
27,375,Bielorrússia,Europa
28,591,Bolívia,América do Sul
29,387,Bósnia e Herzegovina,Europa
30,267,Botswana,África
31,55,Brasil,América do Sul
32,673,Brunei,Ásia
33,359,Bulgária,Europa
34,226,Burkina Faso,África
35,257,Burundi,África
36,975,Butão,Ásia
37,238,Cabo Verde,África
38,237,Camarões,África
39,855,Camboja,Ásia
40,1,Canadá,América do Norte
41,7,Cazaquistão,Ásia
42,237,Chade,África
43,56,Chile,América do Sul
44,86,República Popular da China,Ásia
45,357,Chipre,Europa
46,57,Colômbia,América do Sul
47,269,Comores,África
48,242,Congo-Brazzaville,África
49,243,Congo-Kinshasa,África
50,850,Coreia do Norte,Ásia
51,82,Coreia do Sul,Ásia
52,225,Costa do Marfim,África
53,506,Costa Rica,América Central
54,385,Croácia,Europa
55,53,Cuba,América Central
56,45,Dinamarca,Europa
57,253,Djibuti,África
58,1,Dominica,América Central
59,20,Egipto,África/Ásia
60,503,El Salvador,América Central
61,971,Emirados Árabes Unidos,Ásia
62,593,Equador,América do Sul
63,291,Eritreia,África
64,421,Eslováquia,Europa
65,386,Eslovénia,Europa
66,34,Espanha,Europa
67,1,Estados Unidos,América do Norte
68,372,Estónia,Europa
69,251,Etiópia,África
70,679,Fiji,Oceania
71,63,Filipinas,Ásia
72,358,Finlândia,Europa
73,33,França,Europa
74,241,Gabão,África
75,220,Gâmbia,África
76,233,Gana,África
77,995,Geórgia,Ásia
78,350,Gibraltar,Europa
79,1,Granada,América Central
80,30,Grécia,Europa
81,299,Groenlândia,América do Norte
82,590,Guadalupe,América Central
83,671,Guam,Oceania
84,502,Guatemala,América Central
85,592,Guiana,América do Sul
86,594,Guiana Francesa,América do Sul
87,224,Guiné,África
88,245,Guiné-Bissau,África
89,240,Guiné Equatorial,África
90,509,Haiti,América Central
91,504,Honduras,América Central
92,852,Hong Kong,Ásia
93,36,Hungria,Europa
94,967,Iêmen,Ásia
95,1,Ilhas Cayman,América Central
96,672,Ilha Christmas,Oceania
97,672,Ilhas Cocos,Oceania
98,682,Ilhas Cook,Oceania
99,298,Ilhas Féroe,Europa
100,672,Ilha Heard e Ilhas McDonald,Oceania
101,960,Maldivas,Ásia
102,500,Ilhas Malvinas,América do Sul
103,1,Ilhas Marianas do Norte,Oceania
104,692,Ilhas Marshall,Oceania
105,672,Ilha Norfolk,Oceania
106,677,Ilhas Salomão,Oceania
107,1,Ilhas Virgens Americanas,América Central
108,1,Ilhas Virgens Britânicas,América Central
109,91,Índia,Ásia
110,62,Indonésia,Ásia/Oceania
111,98,Irã,Ásia
112,964,Iraque,Ásia
113,353,Irlanda,Europa
114,354,Islândia,Europa
115,972, Israel,Ásia
116,39,Itália,Europa
117,1,Jamaica,América Central
118,81,Japão,Ásia
119,962,Jordânia,Ásia
120,686,Kiribati,Oceania
121,383,Kosovo,Europa
122,965,Kuwait,Ásia
123,856,Laos,Ásia
124,266,Lesoto,África
125,371,Letônia,Europa
126,961,Líbano,Ásia
127,231,Libéria,África
128,218,Líbia,África
129,423,Liechtenstein,Europa
130,370,Lituânia,Europa
131,352,Luxemburgo,Europa
132,853,Macau,Ásia
133,389,República da Macedônia,Europa
134,261,Madagascar,África
135,60,Malásia,Ásia
136,265,Malawi,África
137,223,Mali,África
138,356,Malta,Europa
139,212,Marrocos,África
140,596,Martinica,América Central
141,230,Maurícia,África
142,222,Mauritânia,África
143,269,Mayotte,África
144,52,México,América do Norte
145,691,Estados Federados da Micronésia,Oceania
146,258,Moçambique,África
147,373,Moldávia,Europa
148,377,Mônaco,Europa
149,976,Mongólia,Ásia
150,382,Montenegro,Europa
151,1,Montserrat,América Central
152,95,Myanmar,Ásia
153,264,Namíbia,África
154,674,Nauru,Oceania
155,977,Nepal,Ásia
156,505,Nicarágua,América Central
157,227,Níger,África
158,234,Nigéria,África
159,683,Niue,Oceania
160,47,Noruega,Europa
161,687,Nova Caledônia,Oceania
162,64,Nova Zelândia,Oceania
163,968,Omã,Ásia
164,31,Países Baixos,Europa
165,680,Palau,Oceania
166,970,Palestina,Ásia
167,507,Panamá,América Central
168,675,Papua-Nova Guiné,Oceania
169,92,Paquistão,Ásia
170,595,Paraguai,América do Sul
171,51,Peru,América do Sul
172,689,Polinésia Francesa,Oceania
173,48,Polônia,Europa
174,1,Porto Rico,América Central
175,351,Portugal,Europa
176,974,Qatar,Ásia
177,254,Quênia,África
178,996,Quirguistão,Ásia
179,44,Reino Unido,Europa
180,236,República Centro-Africana,África
181,1,República Dominicana,América Central
182,420,República Tcheca,Europa
183,262,Reunião,África
184,40,Romênia,Europa
185,250,Ruanda,África
186,7,Rússia,Europa/Ásia
187,212,Saara Ocidental,África
188,685,Samoa,Oceania
189,1,Samoa Americana,Oceania
190,290,Santa Helena (território),África
191,1,Santa Lúcia,América Central
192,1,São Cristóvão e Nevis,América Central
193,378,São Marinho,Europa
194,508,Saint-Pierre e Miquelon,América do Norte
195,239,São Tomé e Príncipe,África
196,1,São Vicente e Granadinas,América Central
197,248,Seicheles,África
198,221,Senegal,África
199,232,Serra Leoa,África
200,381,Sérvia,Europa
201,65,Singapura,Ásia
202,963,Síria,Ásia
203,252,Somália,África
204,94,Sri Lanka,Ásia
205,268,Suazilândia,África
206,249,Sudão,África
207,211,Sudão do Sul,África
208,46,Suécia,Europa
209,41,Suíça,Europa
210,597,Suriname,América do Sul
211,992,Tadjiquistão,Ásia
212,66,Tailândia,Ásia
213,886,República da China,Ásia
214,255,Tanzânia,África
215,246,Território Britânico do Oceano Índico,África
216,670,Timor-Leste,Ásia
217,228,Togo,África
218,690,Tokelau,Oceania
219,676,Tonga,Oceania
220,1,Trinidad e Tobago,América Central
221,216,Tunísia,África
222,1,Turcas e Caicos,América Central
223,993,Turquemenistão,Ásia
224,90,Turquia,Ásia//Europa
225,688,Tuvalu,Oceania
226,380,Ucrânia,Europa
227,256,Uganda,África
228,598,Uruguai,América do Sul
229,998,Uzbequistão,Ásia
230,678,Vanuatu,Oceania
231,379,Vaticano,Europa
232,58,Venezuela,América do Sul
233,84,Vietnã,Ásia
234,681,Wallis e Futuna,Oceania
235,260,Zâmbia,África
236,263,Zimbábue,África
